name,lon,lat,osm_id,osm_type,wikidata,place,
Chiramba,81.6355739,47.0997599,1426006243,node,,,
Урджар,-123.2077861,39.1501662,243465319,node,,,
Ukiah,-88.5613615,18.0804488,141036645,node,,,
Orange Walk Town,31.2147916,12.905825,4546749407,node,,,
Um Rawabah,32.5531993,25.2936689,248948675,node,,,
Isna,40.285862,33.037183,332074994,node,,,
Ar Rutbah,47.143995,31.835876,2488061017,node,,,
Al Amarah,36.7335028,34.0234186,2487866641,node,,,
An Nabk,31.1068763,29.0357943,573522005,node,,,
New Beni Suef,44.08333,2.78333,1127699160,node,,,
Buurhakaba,43.605821,15.694247,36305949,node,,,
Hajja,54.7071011,16.9914958,1224186975,node,,,
Mirbat,36.3860147,18.3329475,1719166736,node,,,
Hayya,30.824167,2.8594439,3201578820,node,,,
Aru,-2.1809979,53.0035027,1157861493,node,,,
Stoke,28.43151,-3.04079,29813788,node,,,
Mwenga,132.0300824,47.2480896,631602436,node,,,
Fujin,116.2706282,-8.7157359,244079326,node,,,
Praya,3.9151668,6.8140077,1271859023,node,,,
Ijebu-Ode,35.3169421,-21.9978162,501496491,node,,,
Vilanculos,101.4283119,36.0441592,899421044,node,,,
Guide,112.0652601,-6.8952153,3408488874,node,,,
Tuban,115.118667,27.271685,2330311929,node,,,
Jintan,13.9564185,1.0146962,2314081740,node,,,
Mekambo,18.2826311,4.2964815,927078063,node,,,
Zondo,-75.7146393,-14.1855588,3449755750,node,,,
Santiago,91.8927204,25.5787346,3059702603,node,,,
Shillong,110.423058,32.98276,4729035708,node,,,
Yunxi,138.6120042,-33.8333914,1718196209,node,,,
Clare,90.4099158,24.7482129,249338605,node,,,
Mymensingh,-75.8139786,9.2394583,4737748822,node,,,
Lorica,111.139732,32.667616,310195666,node,,,
Junxian,38.3178715,38.3483098,2483526347,node,,,
Malatya,5.1813195,7.8467169,26486997,node,,,
Ido Ekiti,113.8799709,29.7211667,501496699,node,,,
Puqi,112.1650769,-8.0982442,1858189527,node,,,
Blitar,132.9705962,45.7649944,604396013,node,,,
Hulin,-71.724362,6.4615657,502260771,node,,,
Tame,125.3062119,47.8852992,703198014,node,,,
Yi'an,18.5945851,4.3436703,502318083,node,,,
Zongo,23.4498695,-10.3834167,435315432,node,,,
Kasaji,37.8528153,7.5501651,629090265,node,,,
Hossana,10.4215565,5.4758083,4601173879,node,,,
Bafoussam,-80.5792433,-1.3484029,4241209565,node,,,
Jipijapa,-66.3800363,9.8581759,249429318,node,,,
Altagracia de Orituco,-61.9904928,45.6213607,3247469855,node,,,
Antigonish,-81.9267993,45.9800486,410363320,node,,,
Little Current,16.8168133,-6.4786095,311649447,node,,,
Kasongo-Lunda,119.3757882,43.9331233,629549786,node,,,
Lindong,128.7429,36.58754,1720956485,node,,,
Andongsi,-73.9723091,8.9953753,415158514,node,,,
El Banco,-75.354366,-11.1220983,2454866575,node,,,
San Ramón,17.038692,-4.8059503,276524293,node,,,
Kenge,-9.5604182,15.1780992,663316914,node,,,
Nioro du Sahel,-9.5604182,15.1780992,2165275020,node,,,
Nioro du Sahel,103.2907533,26.4164702,277943685,node,,,
Huize,6.7340488,7.1099854,469623225,node,,,
Idah,123.4114861,46.3912318,4258125946,node,,,
Tailai,131.8695602,45.5438558,244081763,node,,,
Mishan,26.6683333,-3.5942806,244081221,node,,,
Kampene,-108.0755762,25.4575591,1094352547,node,,,
Guamuchil,126.3980058,38.3378609,273590460,node,,,
Phyongsan,32.0660837,-10.549972,264047428,node,,,
Chinsali,118.3276498,5.0215721,2701550475,node,,,
Lahad Datu,-71.3406351,4.789484,1081974263,node,,,
Orocué,123.4926069,47.9174389,474937029,node,,,
Gannan,-97.3903616,18.4599877,411854741,node,,,
Tehuacán,122.778865,45.3349919,448088952,node,,,
Taonan,18.9582005,-7.2919121,244081801,node,,,
Kahemba,123.4094177,10.4929309,629548494,node,,,
San Carlos,129.2143058,42.2243428,333551461,node,,,
Musan,-71.4881991,10.5117863,2097342990,node,,,
Santa Rita,109.4599618,31.0242413,377690696,node,,,
Fengjie,10.2215963,-0.695844,3049831804,node,,,
Lambarene,7.307497,11.5232142,331144234,node,,,
Funtua,112.906694,-7.6419894,501386027,node,,,
Pasuruan,15.216353,2.043718,1562561227,node,,,
Mouloundou,33.18898,-4.2194936,2250019844,node,,,
Nzega,-76.0003034,-9.2983713,258512646,node,,,
Tingo María,123.5418855,46.5998443,277755254,node,,,
Tailai,115.814594,-32.2423667,2343318812,node,,,
Kwinana,119.9092889,28.4531469,81401160,node,,,
Lishui,21.4197459,-5.3535845,244081071,node,,,
Lwebo,34.8382186,-5.7467028,614576675,node,,,
Manyoni,16.8257204,-6.4772859,3184797350,node,,,
Kasongo-Lunda,33.4091753,-3.5601972,4282979254,node,,,
Old Shinyanga,-69.1315839,-30.2101856,3152554073,node,,,
Rodeo,35.9072348,41.5650555,198417450,node,,,
Bafra,37.8386067,-16.9003035,27010661,node,,,
